"Gene","Module"
"Mapk7","blue"
"2810051F02Rik","blue"
"Spon2","blue"
"9130023D20Rik","blue"
"Kdr","blue"
"Myo1e","blue"
"Crem","blue"
"A530017F20","blue"
"Spint1","blue"
"Bat8","blue"
"Pdgfc","blue"
"Adam8","blue"
"Tm4sf10","blue"
"9030420J04Rik","blue"
"Kit","blue"
"Fndc3","blue"
"Xbp1","blue"
"Phb","blue"
"Tde2","blue"
"BC027174","blue"
"9530019H02Rik","blue"
"Plxnb1","blue"
"H2-DMa","blue"
"AI747448","blue"
"6720451F06Rik","blue"
"AI648866","blue"
"4933426L22Rik","blue"
"Gpsn2","blue"
"Sorbs1","blue"
"Masp1","blue"
"Elovl7","blue"
"Pik3r1","blue"
"Pscd2","blue"
"Wtap","blue"
"AW260467","blue"
"Ndufa6","blue"
"Tbx1","blue"
"Mpp5","blue"
"Fgd5","blue"
"Erbb3","blue"
"B2m","blue"
"Nr2c2","blue"
"Pspc1","blue"
"Rab15","blue"
"Cfh","blue"
"Myf6","blue"
"Aqr","blue"
"Slc38a3","blue"
"Igfbp7","blue"
"Camkk2","blue"
"Nol5a","blue"
"Ube2b","blue"
"Xmr","blue"
"Acvrinp1","blue"
"Clec2","blue"
"H2-Q8","blue"
"Adrb1","blue"
"Bcl6b","blue"
"Acly","blue"
"Srrm2","blue"
"Mbd3l1","blue"
"Ccl7","blue"
"2510006C20Rik","blue"
"Styx","blue"
"Prss21","blue"
"C330014B19Rik","blue"
"Ampd1","blue"
"Mgst3","blue"
"Magea7","blue"
"Lrrc25","blue"
"Rps14","blue"
"Psmb3","blue"
"Ccng1","blue"
"Mcm5","blue"
"5830416A07Rik","blue"
"C8b","blue"
"Cyfip2","blue"
"BC016235","blue"
"2700050F09Rik","blue"
"Bmp2","blue"
"Ltbr","blue"
"BC027057","blue"
"Cd22","blue"
"Scd1","blue"
"AF397014","blue"
"Mylpf","blue"
"BC025446","blue"
"Abcg2","blue"
"Gpr49","blue"
"Nrip1","blue"
"D630035O19Rik","blue"
"Smarca4","blue"
"Arid5a","blue"
"Eml5","blue"
"Fvt1","blue"
"5730496F10Rik","blue"
"Clcn2","blue"
"Pdlim4","blue"
"5830461H18Rik","blue"
"Kntc1","blue"
"Lypla1","blue"
"Pld2","blue"
"Col12a1","blue"
"Itga8","blue"
"D1Bwg0212e","blue"
"1700029I01Rik","blue"
"Tyrobp","blue"
"Zfpm1","blue"
"Ugt1a9","blue"
"Usp40","blue"
"Sct","blue"
"5033406L14Rik","blue"
"F5","blue"
"Cyp2d22","blue"
"Ccl2","blue"
"6720460F02Rik","blue"
"D2Ertd435e","blue"
"Frap1","blue"
"Slc25a20","blue"
"Slc9a2","blue"
"BC019537","blue"
"Dclre1c","blue"
"9430025M21Rik","blue"
"Ncf2","blue"
"Card11","blue"
"Abi2","blue"
"5730485H21Rik","blue"
"Stard4","blue"
"Cldn7","blue"
"Tln","blue"
"Clstn3","blue"
"6530401C20Rik","blue"
"D2Ertd145e","blue"
"Neb","blue"
"Prkca","blue"
"Cyp2c40","blue"
"Tubb4","blue"
"D030015G18Rik","blue"
"Cd86","blue"
"4930444A19Rik","blue"
"F2r","blue"
"Cds1","blue"
"Shprh","blue"
"Raet1e","blue"
"Wdfy3","blue"
"Cps1","blue"
"4732416F18","blue"
"Ela1","blue"
"B630005N14Rik","blue"
"Slc35a5","blue"
"2410195B05Rik","blue"
"Ifit2","blue"
"Gsta2","blue"
"Calb3","blue"
"2810006K23Rik","blue"
"Mitf","blue"
"Tbx15","blue"
"Cdh2","blue"
"Pdgfrb","blue"
"Lnx2","blue"
"Ly6d","blue"
"Ucp2","blue"
"Inhbb","blue"
"Rpl35","blue"
"Sctr","blue"
"Ctsd","blue"
"0610012D14Rik","blue"
"2410004P03Rik","blue"
"Slc25a15","blue"
"Wdr6","blue"
"0610011L13Rik","blue"
"Gmpr","blue"
"B3gnt1","blue"
"Mef2c","blue"
"Pms1","blue"
"Cflar","blue"
"Galm","blue"
"Sybl1","blue"
"2610018I03Rik","blue"
"Htr6","blue"
"Gnpnat1","blue"
"Slc15a1","blue"
"Vtn","blue"
"Etnk1","blue"
"Saa1","blue"
"Nsdhl","blue"
"Eps8l3","blue"
"3930402F23Rik","blue"
"Melk","blue"
"Mdfi","blue"
"Il1rap","blue"
"Tnf","blue"
"Socs3","blue"
"Enpp2","blue"
"Il1b","blue"
"Matr3","blue"
"Tgm1","blue"
"LOC224598","blue"
"Amigo","blue"
"Knsl7","blue"
"AI324046","blue"
"Hck","blue"
"Plekha4","blue"
"AA545217","blue"
"Fgf8","blue"
"4930485B16Rik","blue"
"1700001G17Rik","blue"
"Tm4sf1","blue"
"2310067G05Rik","blue"
"Mtac2d1","blue"
"Pcbp4","blue"
"Agpat4","blue"
"Tcof1","blue"
"1200015A22Rik","blue"
"Birc5","blue"
"Dia1","blue"
"Mad2l1","blue"
"BC011426","blue"
"Nolc1","blue"
"A330015D16Rik","blue"
"BC037594","blue"
"Pitpnm","blue"
"Col1a2","blue"
"Zfpm2","blue"
"Ntf5","blue"
"Erh","blue"
"Fgfr1op2","blue"
"Chek1","blue"
"A330042H22","blue"
"Lpl","blue"
"Pvrl2","blue"
"Idi1","blue"
"C1qb","blue"
"Igfbp2","blue"
"Akr1d1","blue"
"Mx1","blue"
"2310004N24Rik","blue"
"Gpm6b","blue"
"9630025I22Rik","blue"
"4831417L10","blue"
"Lnk","blue"
"Cd59a","blue"
"2610207I16Rik","blue"
"Pfkp","blue"
"Ins1","blue"
"Tmlhe","blue"
"Pdlim3","blue"
"Itih3","blue"
"Saa4","blue"
"Gsh1","blue"
"2510009E07Rik","blue"
"5430432M24Rik","blue"
"C030032C09Rik","blue"
"Tacc3","blue"
"Pilrb","blue"
